time,storage
1,0.0
2,74.9890912354937
3,149.1525714533652
4,221.4374145856777
5,286.71794551619314
6,329.78153359131363
7,345.7334579484653
8,367.311179924071
9,403.2559092726675
10,486.5970134987625
11,564.8428735903
12,632.8734557659538
13,694.5148986677483
14,758.9987277944799
15,828.1214986069244
16,905.0519199480384
17,988.2214945563819
18,988.2214945563819
19,988.2214945563819
20,988.2214945563819
21,988.2214945563819
22,1088.3049451280833
23,1190.025835341158
24,1301.304494842246
25,1422.172803086193
26,1513.5760886885594
27,1588.780162159142
28,1662.9516574195557
29,1762.1129552320276
30,1877.3298514881187
31,1980.4466379879407
32,1980.4466379879407
33,1980.4466379879407
34,1980.4466379879407
35,1980.4466379879407
36,1980.4466379879407
37,1980.4466379879407
38,1980.4466379879407
39,1980.4466379879407
40,1980.4466379879407
41,1980.4466379879407
42,1980.4466379879407
43,1980.4466379879407
44,1980.4466379879407
45,1980.4466379879407
46,1980.4466379879407
47,1980.4466379879407
48,1980.4466379879407
49,1980.4466379879407
50,1980.4466379879407
51,1980.4466379879407
52,1980.4466379879407
53,1980.4466379879407
54,1980.4466379879407
55,1980.4466379879407
56,1980.4466379879407
57,1980.4466379879407
58,1980.4466379879407
59,1980.4466379879407
60,1980.4466379879407
61,1980.4466379879407
62,1980.4466379879407
63,1980.4466379879407
64,1980.4466379879407
65,1980.4466379879407
66,1980.4466379879407
67,1980.4466379879407
68,1980.4466379879407
69,1980.4466379879407
70,1980.4466379879407
71,1980.4466379879407
72,1980.4466379879407
73,1980.4466379879407
74,2095.7306305036864
75,2213.4766328199207
76,2328.4733012129013
77,2437.9151888563574
78,2437.9151888563574
79,2437.9151888563574
80,2437.9151888563574
81,2437.9151888563574
82,2437.9151888563574
83,2437.9151888563574
84,2437.9151888563574
85,2437.9151888563574
86,2437.9151888563574
87,2437.9151888563574
88,2437.9151888563574
89,2437.9151888563574
90,2437.9151888563574
91,2437.9151888563574
92,2437.9151888563574
93,2437.9151888563574
94,2437.9151888563574
95,2430.4083855284016
96,2430.4083855284016
97,2430.4083855284016
98,2430.4083855284016
99,2430.4083855284016
100,2430.4083855284016
101,2430.4083855284016
102,2430.4083855284016
103,2430.4083855284016
104,2366.578598294359
105,2238.919023826274
106,2047.429662124146
107,1841.5450139468583
108,1630.8731345687427
109,1416.4901558453384
110,1202.1071771219342
111,1027.0323846437605
112,915.7873793996293
113,890.1775495334897
114,890.1775495334897
115,867.2839325122131
116,780.560528256894
117,677.5143066816383
118,574.4680851063829
119,574.4680851063829
120,574.4680851063829
121,574.4680851063829
122,574.4680851063829
123,574.4680851063829
124,574.4680851063829
125,574.4680851063829
126,574.4680851063829
127,574.4680851063829
128,574.4680851063829
129,574.4680851063829
130,574.4680851063829
131,574.4680851063829
132,574.4680851063829
133,574.4680851063829
134,574.4680851063829
135,574.4680851063829
136,574.4680851063829
137,510.6382978723404
138,382.9787234042553
139,191.48936170212764
140,63.82978723404255
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,104.88770583905203
148,104.88770583905203
149,146.50681678635044
150,260.50615607449254
151,377.6975510876953
152,377.6975510876953
153,377.6975510876953
154,377.6975510876953
155,377.6975510876953
156,313.8677638536527
157,313.8677638536527
158,313.8677638536527
159,313.8677638536527
160,313.8677638536527
161,313.8677638536527
162,196.39452256397962
163,48.69372696361836
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
